#Chromosome	Start	End	type	name	name2
chr2L	71365	306985	RAID5	5000001	956000002
chr2L	345339	574906	RAID5	5000002	956000004
chr2L	811239	872685	RAID5	5000003	956000006
chr2L	1060031	1191164	RAID5	5000004	956000008
chr2L	1360909	1476309	RAID5	5000005	956000010
chr2L	1631797	1730348	RAID5	5000006	956000012
chr2L	1884319	2038917	RAID5	5000007	956000014
chr2L	2130096	2258944	RAID5	5000008	956000016
chr2L	2357264	2383855	RAID5	5000009	956000018
chr2L	2420035	2586219	RAID5	5000010	956000020
chr2L	2612138	2698915	RAID5	5000011	956000022
chr2L	2729714	2936896	RAID5	5000012	956000024
chr2L	2968297	3160261	RAID5	5000013	956000026
chr2L	3302339	3373794	RAID5	5000014	956000028
chr2L	3413623	3442186	RAID5	5000015	956000030
chr2L	3449580	3804392	RAID5	5000016	956000032
chr2L	4332866	4394617	RAID5	5000017	956000034
chr2L	4402856	4458732	RAID5	5000018	956000036
chr2L	4464148	4576683	RAID5	5000019	956000038
chr2L	4817332	4929452	RAID5	5000020	956000040
chr2L	4968749	5208209	RAID5	5000021	956000042
chr2L	5402997	5461872	RAID5	5000022	956000044
chr2L	5771221	6127887	RAID5	5000023	956000046
chr2L	6323416	6566788	RAID5	5000024	956000048
chr2L	6612243	6724427	RAID5	5000025	956000050
chr2L	6851984	7159580	RAID5	5000026	956000052
chr2L	7181917	7241446	RAID5	5000027	956000054
chr2L	7412060	7450435	RAID5	5000028	956000056
chr2L	7473119	7577346	RAID5	5000029	956000058
chr2L	7677518	7886261	RAID5	5000030	956000060
chr2L	7892846	8108506	RAID5	5000031	956000062
chr2L	8127432	8476086	RAID5	5000032	956000064
chr2L	8511627	8544413	RAID5	5000033	956000066
chr2L	8687816	8749835	RAID5	5000034	956000068
chr2L	8824616	8855314	RAID5	5000035	956000070
chr2L	8911428	9017023	RAID5	5000036	956000072
chr2L	9117337	9239130	RAID5	5000037	956000074
chr2L	9436729	9793648	RAID5	5000038	956000076
chr2L	9887032	10057709	RAID5	5000039	956000078
chr2L	10200560	10553847	RAID5	5000040	956000080
chr2L	10728540	10859112	RAID5	5000041	956000082
chr2L	10966730	11011902	RAID5	5000042	956000084
chr2L	11033288	11231540	RAID5	5000043	956000086
chr2L	11516366	11563093	RAID5	5000044	956000088
chr2L	12003056	12109448	RAID5	5000045	956000090
chr2L	12364382	12516064	RAID5	5000046	956000092
chr2L	12520485	12546776	RAID5	5000047	956000094
chr2L	12585383	12658324	RAID5	5000048	956000096
chr2L	12692165	12724471	RAID5	5000049	956000098
chr2L	12770777	12907596	RAID5	5000050	956000100
chr2L	12974005	13141416	RAID5	5000051	956000102
chr2L	13164449	13313607	RAID5	5000052	956000104
chr2L	13366139	13412289	RAID5	5000053	956000106
chr2L	13500078	13642053	RAID5	5000054	956000108
chr2L	13766508	13837775	RAID5	5000055	956000110
chr2L	13839191	13906232	RAID5	5000056	956000112
chr2L	14194716	14362509	RAID5	5000057	956000114
chr2L	14365684	14494300	RAID5	5000058	956000116
chr2L	14598867	14690126	RAID5	5000059	956000118
chr2L	15007405	15058418	RAID5	5000060	956000120
chr2L	15247814	15427053	RAID5	5000061	956000122
chr2L	15745389	15777952	RAID5	5000062	956000124
chr2L	15908302	15934445	RAID5	5000063	956000126
chr2L	16250908	16357064	RAID5	5000064	956000128
chr2L	16416931	16914300	RAID5	5000065	956000130
chr2L	17237153	17284562	RAID5	5000066	956000132
chr2L	17357630	17501401	RAID5	5000067	956000134
chr2L	18119770	18153154	RAID5	5000068	956000136
chr2L	18441106	18936963	RAID5	5000069	956000138
chr2L	18942935	19068914	RAID5	5000070	956000140
chr2L	19114109	19132308	RAID5	5000071	956000142
chr2L	19133182	19166532	RAID5	5000072	956000144
chr2L	19189934	19223889	RAID5	5000073	956000146
chr2L	19380116	19596278	RAID5	5000074	956000148
chr2L	19735114	19792566	RAID5	5000075	956000150
chr2L	19864868	19958305	RAID5	5000076	956000152
chr2L	20062897	20086023	RAID5	5000077	956000154
chr2L	20091074	20294410	RAID5	5000078	956000156
chr2L	20297666	20341658	RAID5	5000079	956000158
chr2L	20349633	20430426	RAID5	5000080	956000160
chr2L	20637807	20923495	RAID5	5000081	956000162
chr2L	20971889	21397590	RAID5	5000082	956000164
chr2L	21558059	21903311	RAID5	5000083	956000166
chr2L	22113032	22364565	RAID5	5000084	956000168
chr2L	22426319	22474067	RAID5	5000085	956000170
chr2R	16859	160248	RAID5	5100086	956000172
chr2R	358227	812328	RAID5	5100087	956000174
chr2R	1137240	1250812	RAID5	5100088	956000176
chr2R	1382703	1671853	RAID5	5100089	956000178
chr2R	1868923	1930469	RAID5	5100090	956000180
chr2R	1983662	2078057	RAID5	5100091	956000182
chr2R	2088927	2214964	RAID5	5100092	956000184
chr2R	2388697	2413070	RAID5	5100093	956000186
chr2R	2500452	2561187	RAID5	5100094	956000188
chr2R	2563104	2773670	RAID5	5100095	956000190
chr2R	2810592	2949551	RAID5	5100096	956000192
chr2R	3132962	3166374	RAID5	5100097	956000194
chr2R	3220194	3419924	RAID5	5100098	956000196
chr2R	3420890	3725165	RAID5	5100099	956000198
chr2R	3739705	3800371	RAID5	5100100	956000200
chr2R	3803833	3827017	RAID5	5100101	956000202
chr2R	3829721	4215872	RAID5	5100102	956000204
chr2R	4439154	4621154	RAID5	5100103	956000206
chr2R	4778416	4849376	RAID5	5100104	956000208
chr2R	4982087	5196487	RAID5	5100105	956000210
chr2R	5287457	5334354	RAID5	5100106	956000212
chr2R	5427181	5601605	RAID5	5100107	956000214
chr2R	5729068	6037535	RAID5	5100108	956000216
chr2R	6097524	6202147	RAID5	5100109	956000218
chr2R	6304342	6537155	RAID5	5100110	956000220
chr2R	6652018	6696744	RAID5	5100111	956000222
chr2R	6698334	6786937	RAID5	5100112	956000224
chr2R	6933229	7004126	RAID5	5100113	956000226
chr2R	7032455	7096473	RAID5	5100114	956000228
chr2R	7110160	7293067	RAID5	5100115	956000230
chr2R	7356798	7417586	RAID5	5100116	956000232
chr2R	7478457	7678329	RAID5	5100117	956000234
chr2R	7712725	7915882	RAID5	5100118	956000236
chr2R	8025617	8642787	RAID5	5100119	956000238
chr2R	8756123	8931276	RAID5	5100120	956000240
chr2R	9020015	9127345	RAID5	5100121	956000242
chr2R	9214635	9291804	RAID5	5100122	956000244
chr2R	9324615	9510884	RAID5	5100123	956000246
chr2R	9709263	9937603	RAID5	5100124	956000248
chr2R	9960832	10028982	RAID5	5100125	956000250
chr2R	10039554	10301196	RAID5	5100126	956000252
chr2R	10345312	10406071	RAID5	5100127	956000254
chr2R	10487783	10532812	RAID5	5100128	956000256
chr2R	10590536	10634776	RAID5	5100129	956000258
chr2R	10639362	10659274	RAID5	5100130	956000260
chr2R	10735409	10881636	RAID5	5100131	956000262
chr2R	11003016	11033197	RAID5	5100132	956000264
chr2R	11128575	11248447	RAID5	5100133	956000266
chr2R	11295872	11457785	RAID5	5100134	956000268
chr2R	11567004	11585812	RAID5	5100135	956000270
chr2R	11615156	12090416	RAID5	5100136	956000272
chr2R	12093471	12224907	RAID5	5100137	956000274
chr2R	12458618	12756725	RAID5	5100138	956000276
chr2R	12892836	13043840	RAID5	5100139	956000278
chr2R	13148064	13228106	RAID5	5100140	956000280
chr2R	13279609	13481331	RAID5	5100141	956000282
chr2R	13521256	13625304	RAID5	5100142	956000284
chr2R	13626278	13759968	RAID5	5100143	956000286
chr2R	14011893	14164953	RAID5	5100144	956000288
chr2R	14175540	14599486	RAID5	5100145	956000290
chr2R	14658398	14754404	RAID5	5100146	956000292
chr2R	15028282	15389416	RAID5	5100147	956000294
chr2R	15689951	15773987	RAID5	5100148	956000296
chr2R	15970966	16014259	RAID5	5100149	956000298
chr2R	16132501	16215728	RAID5	5100150	956000300
chr2R	16439309	16559120	RAID5	5100151	956000302
chr2R	16903991	17081195	RAID5	5100152	956000304
chr2R	17152090	17406859	RAID5	5100153	956000306
chr2R	17473041	17604335	RAID5	5100154	956000308
chr2R	17859946	18100850	RAID5	5100155	956000310
chr2R	18104666	18379921	RAID5	5100156	956000312
chr2R	18424785	18588724	RAID5	5100157	956000314
chr2R	18740931	18897380	RAID5	5100158	956000316
chr2R	19088242	19105305	RAID5	5100159	956000318
chr2R	19245056	19287634	RAID5	5100160	956000320
chr2R	19308705	19390905	RAID5	5100161	956000322
chr2R	19409692	19439959	RAID5	5100162	956000324
chr2R	19454227	19696993	RAID5	5100163	956000326
chr2R	19732180	19910008	RAID5	5100164	956000328
chr2R	19915722	20021780	RAID5	5100165	956000330
chr2R	20032902	20085830	RAID5	5100166	956000332
chr2R	20134865	20300015	RAID5	5100167	956000334
chr2R	20426733	20972210	RAID5	5100168	956000336
chr3L	72520	361575	RAID5	5200169	956000338
chr3L	438419	824390	RAID5	5200170	956000340
chr3L	824798	893288	RAID5	5200171	956000342
chr3L	995808	1181247	RAID5	5200172	956000344
chr3L	1247669	1490127	RAID5	5200173	956000346
chr3L	1496337	1742357	RAID5	5200174	956000348
